GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,25,0,0,0,8,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,7,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,53,133,1,3,13,33,3,9,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,CurvePointController,0,59,0,0,0,17,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,59,0,0,0,17,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,26,73,0,0,8,22,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,59,0,0,0,17,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,13,86,0,0,4,26,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.configuration,SecurityConfig,0,152,0,0,0,30,0,9,0,9
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,0,86,1,3,0,21,1,11,0,10
spring-boot-skeleton,com.nnk.springboot.service,TradeService,0,58,0,0,0,15,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.service,MyUserDetailsService,0,19,0,2,0,4,0,3,0,2
spring-boot-skeleton,com.nnk.springboot.service,RatingService,0,109,1,5,0,24,1,12,0,10
spring-boot-skeleton,com.nnk.springboot.service,BidListService,0,58,0,0,0,15,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,0,58,0,0,0,15,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.service,UserService,5,76,1,11,1,18,1,9,0,4
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
